date,operating_cash_flow,investing_cash_flow,financing_cash_flow,current_assets,current_liabilities,net_cash_flow,ending_cash_balance,working_capital,liquidity_runway_months,cash_gap_risk,cash_gap_flag
2023-02-28,78000,-18000,-11000,318000,190000,49000,350000,128000,,Stable,Potential Cash Gap
2023-04-30,74000,-16000,-12000,325000,202000,46000,450000,123000,,Stable,Potential Cash Gap
2023-05-31,68000,-14000,-11000,320000,205000,43000,493000,115000,,Stable,Potential Cash Gap
2023-07-31,72000,-15000,-12000,338000,214000,45000,592000,124000,,Stable,Potential Cash Gap
2023-08-31,65000,-13000,-11000,332000,218000,41000,633000,114000,,Stable,Potential Cash Gap
2023-10-31,70000,-17000,-12000,342000,226000,41000,725000,116000,,Stable,Potential Cash Gap
2023-11-30,62000,-14000,-11000,336000,232000,37000,762000,104000,,Stable,Potential Cash Gap
2024-02-29,82000,-19000,-12000,372000,250000,51000,924000,122000,,Stable,Potential Cash Gap
2024-04-30,76000,-17000,-13000,382000,263000,46000,1028000,119000,,Stable,Potential Cash Gap
2024-05-31,69000,-15000,-12000,376000,268000,42000,1070000,108000,,Stable,Potential Cash Gap
2024-07-31,74000,-16000,-13000,395000,280000,45000,1172000,115000,,Stable,Potential Cash Gap
2024-08-31,66000,-14000,-12000,388000,286000,40000,1212000,102000,,Stable,Potential Cash Gap
2024-10-31,73000,-18000,-13000,400000,298000,42000,1305000,102000,,Stable,Potential Cash Gap
2024-11-30,64000,-15000,-12000,392000,305000,37000,1342000,87000,,Stable,Potential Cash Gap
2025-04-30,79000,-18000,-14000,442000,342000,47000,1618000,100000,,Stable,Potential Cash Gap
2025-05-31,71000,-16000,-13000,435000,348000,42000,1660000,87000,,Stable,Potential Cash Gap
